year,county,damages,sra,fire,area
2010,Marin,,199998,44,389498.0941
2010,Mariposa,20296,443313,175,935606.2185
2010,Mendocino,31710,1868014,233,2247876.571
2010,Merced,49700,421688,3060,1265629.138
2010,Modoc,1364,633691,86,2689708.49
2010,Mono,,201226,,2003702.478
2010,Monterey,27750,1289400,403,2120615.146
2010,Napa,201725,370430,171,505855.903
2010,Nevada,16000,395363,55,623850.2349
2010,Orange,,109793,88,511453.1028
2010,Placer,37560,391190,289,959943.5966
2010,Plumas,10,434830,1,1672705.722
2010,Riverside,53475,662365,4548,4672920.887
2010,Sacramento,3800,117328,213,636086.5088
2010,San Benito,62015,729841,157,889406.7123
2010,San Bernardino,5800,362252,320,12867915.09
2010,San Diego,35550,1195054,3594,2725347.846
2010,San Francisco,,0,,67591.41118
2010,San Joaquin,40350,161393,241,912594.9782
2010,San Luis Obispo,54268,1529564,2017,2126085.289
2010,San Mateo,16040,180946,12,353163.3183
2010,Santa Barbara,,737444,333,1632458.268
2010,Santa Clara,5400,553166,69,835210.5863
2010,Santa Cruz,200951,234987,22,285479.2542
2010,Shasta,101950,1364099,413,2465229.085
2010,Sierra,10000,163698,4,615316.0251
2010,Siskiyou,7050,1370072,61,4062258.471
2010,Solano,11150,87068,68,582210.921
2010,Sonoma,340240,794789,235,1026969.924
2010,Stanislaus,211100,450351,793,970170.44
2010,Sutter,,0,,389309.337
2010,Tehama,50400,1282214,241,1892922.578
2010,Trinity,1700,484169,17,2052763.958
2010,Tulare,57895,605876,2519,3099331.344
2010,Tuolumne,123502,359611,297,1457654.549
2010,Ventura,,351716,12,1172729.555
2010,Yolo,2,176274,39,653449.0021
2010,Yuba,17500,216140,1588,412110.7554
